SEZ2011,COMUNE,gap_score,popolazione_eta_guida_stimata
150220000002,Besate,0.8457837792598706,1030.0
150590000040,Cassano d'Adda,0.8090312749814579,464.0
150220000001,Besate,0.8066359409766615,405.0
151390000012,Mediglia,0.8052276000196243,481.0
150990000006,Dairago,0.7709685518618672,639.0
150990000004,Dairago,0.7676872328697544,786.0
151390000005,Mediglia,0.7604290822407629,595.0
151390000004,Mediglia,0.7585618760948553,285.0
151830000004,Robecchetto con Induno,0.7553527057173448,660.0
150990000005,Dairago,0.7542589327199739,789.0
152240000010,Truccazzano,0.7476905228465803,344.0
151060000002,Gessate,0.7425160242073031,640.0
151460002842,Milano,0.741696415945421,1002.0
152360000001,Vernate,0.7404237143838364,239.0
150770000370,Cinisello Balsamo,0.7379158285402604,297.0
150770000308,Cinisello Balsamo,0.7375002525201512,669.0
151830000005,Robecchetto con Induno,0.7359793597243346,642.0
151590000014,Opera,0.7350933747370183,324.0
150770000455,Cinisello Balsamo,0.7342939680872247,535.0
151590000013,Opera,0.7339534266263019,294.0
151390000006,Mediglia,0.7320891064249785,253.0
151590000022,Opera,0.730949158314262,386.0
150990000018,Dairago,0.7297543772564479,172.0
150770000392,Cinisello Balsamo,0.7272782368032968,341.0
151390000001,Mediglia,0.726435540984742,238.0
151060000024,Gessate,0.7259449304054464,364.0
151840000008,Robecco sul Naviglio,0.7257111688941349,392.0
151780000006,Pozzuolo Martesana,0.7249463935793504,629.0
152360000004,Vernate,0.7248915606322527,298.0
150270000046,Bollate,0.7233042911110021,623.0
151840000006,Robecco sul Naviglio,0.7230185825971769,362.0
151840000003,Robecco sul Naviglio,0.7196016242096119,377.0
151780000010,Pozzuolo Martesana,0.7180720735800431,532.0
151030000093,Gaggiano,0.7171341415902132,168.0
150990000001,Dairago,0.7159220448648945,434.0
150770000393,Cinisello Balsamo,0.714057724663571,271.0
150770000310,Cinisello Balsamo,0.7121097120693088,348.0
151660000079,Paderno Dugnano,0.7118644067796609,381.0
151390000003,Mediglia,0.7112179551928244,221.0
151840000004,Robecco sul Naviglio,0.7107590900039538,287.0
151460002739,Milano,0.7105830473843242,307.0
150270000044,Bollate,0.7092237674852166,639.0
150410000011,Busto Garolfo,0.7031690557477914,558.0
150720000017,Cerro Maggiore,0.6999223680906879,1118.0
150700000003,Cernusco sul Naviglio,0.69710280023203,439.0
151060000001,Gessate,0.6955934512145499,616.0
150990000002,Dairago,0.6942688026504515,424.0
151460002738,Milano,0.694095645975406,248.0
151720000033,Pessano con Bornago,0.6917868903081323,522.0
151780000007,Pozzuolo Martesana,0.6870828006360621,426.0
150850000020,Corbetta,0.6859024493011685,346.0
150770000233,Cinisello Balsamo,0.6852357961022433,492.0
151840000007,Robecco sul Naviglio,0.6833426164550789,294.0
150770000367,Cinisello Balsamo,0.6831319425004401,562.0
151780000005,Pozzuolo Martesana,0.6813715163041439,261.0
151720000002,Pessano con Bornago,0.6810944656240712,563.0
151730000021,Pieve Emanuele,0.6808664760019278,525.0
150270000045,Bollate,0.6788232272363905,553.0
151660000293,Paderno Dugnano,0.6780267065311811,600.0
151650000001,Ozzero,0.6776659634581697,417.0
150990000003,Dairago,0.6762547365565486,705.0
150410000013,Busto Garolfo,0.6728868392269132,345.0
151030000118,Gaggiano,0.6721220639121288,203.0
150700000005,Cernusco sul Naviglio,0.6709676860784919,344.0
150770000365,Cinisello Balsamo,0.6703529798820804,366.0
150700000008,Cernusco sul Naviglio,0.6703500939374962,415.0
150720000018,Cerro Maggiore,0.6689734983708844,886.0
150700000013,Cernusco sul Naviglio,0.6688494027537684,410.0
151590000012,Opera,0.6679143567085224,202.0
150700000012,Cernusco sul Naviglio,0.6655421102603988,336.0
151840000015,Robecco sul Naviglio,0.6649591494544121,496.0
